iteration_id,hidden_dims,activation,dropout,lr,weight_decay,batch_size,optimizer,k_folds,mean_train_rmse,std_train_rmse,mean_val_rmse,std_val_rmse,mean_best_epoch,elapsed_seconds
22,"[128, 64]",relu,0.2,0.01,0.0001,32,adam,9,19632.871744791668,4402.742002197279,29964.501085069445,8931.603864676728,203.66666666666666,81.1
14,[64],tanh,0.2,0.01,0.0001,32,adam,9,20745.091362847223,1558.610936925463,30267.62521701389,7473.504341303981,263.3333333333333,97.9
38,"[128, 64, 32]",relu,0.2,0.01,0.0001,32,adam,9,30178.821397569445,7024.2146661852485,33412.42426215278,11392.746068015678,100.55555555555556,61.1
13,[64],tanh,0.2,0.01,0.0,32,adam,9,24616.969401041668,2360.541779902161,34381.610026041664,9969.45437705424,284.0,88.7
54,"[256, 128, 64]",relu,0.2,0.01,0.0001,32,adam,9,30262.965494791668,3456.466779090628,34447.710286458336,8178.379417669171,113.77777777777777,57.5
37,"[128, 64, 32]",relu,0.2,0.01,0.0,32,adam,9,103162.16037326389,203689.087902108,35555.80251736111,8042.235555441782,94.22222222222223,51.7
53,"[256, 128, 64]",relu,0.2,0.01,0.0,32,adam,9,36582.98090277778,11886.47079027092,37187.061631944445,8556.298004578379,105.66666666666667,56.5
74,"[64, 32, 16]",tanh,0.0,0.01,0.0001,32,adam,9,26121.373372395832,10950.7779853412,40372.12152777778,5760.078057726678,60.44444444444444,37.5
70,"[64, 32, 16]",relu,0.2,0.01,0.0001,32,adam,9,38583.957682291664,7750.6630904346775,40581.587239583336,7366.584375915798,66.77777777777777,40.1
69,"[64, 32, 16]",relu,0.2,0.01,0.0,32,adam,9,35236.86349826389,7868.973754508882,40773.622395833336,11159.541230548522,74.11111111111111,38.2
73,"[64, 32, 16]",tanh,0.0,0.01,0.0,32,adam,9,26168.75705295139,11910.04679809793,41153.08051215278,7073.8229810247585,62.888888888888886,36.7
42,"[128, 64, 32]",tanh,0.0,0.01,0.0001,32,adam,9,50987.869140625,20889.5940758527,60191.489583333336,21545.141246416562,13.555555555555555,15.1
46,"[128, 64, 32]",tanh,0.2,0.01,0.0001,32,adam,9,60182.916666666664,4148.373771804084,61033.97222222222,9950.618436219389,32.333333333333336,23.9
45,"[128, 64, 32]",tanh,0.2,0.01,0.0,32,adam,9,61557.81684027778,5462.979183492285,62022.8671875,12816.12796881163,28.77777777777778,20.4
31,"[128, 64]",tanh,0.2,0.001,0.0,32,adam,9,46987.307291666664,11294.575056447788,62109.37152777778,15505.657410416543,238.11111111111111,91.1
41,"[128, 64, 32]",tanh,0.0,0.01,0.0,32,adam,9,50032.768880208336,24866.775444404524,62555.24197048611,23643.649362138232,20.333333333333332,16.4
32,"[128, 64]",tanh,0.2,0.001,0.0001,32,adam,9,47321.75173611111,10251.750125534518,64180.68706597222,14580.215668207567,231.66666666666666,88.3
77,"[64, 32, 16]",tanh,0.2,0.01,0.0,32,adam,9,70366.33029513889,9353.807022824178,70231.14192708333,8646.770461266098,32.111111111111114,22.8
28,"[128, 64]",tanh,0.0,0.001,0.0001,32,adam,9,47964.151475694445,14104.548336865177,71466.85373263889,14210.213203346859,197.88888888888889,74.9
78,"[64, 32, 16]",tanh,0.2,0.01,0.0001,32,adam,9,73063.22743055556,10869.798284241744,72549.18142361111,11132.662777091417,33.666666666666664,23.3
27,"[128, 64]",tanh,0.0,0.001,0.0,32,adam,9,51602.51345486111,9702.915341767659,73520.23654513889,12804.447006993478,180.0,63.9
30,"[128, 64]",tanh,0.2,0.01,0.0001,32,adam,9,69191.69618055556,34873.972029005636,75766.27994791667,31466.733769158946,65.55555555555556,36.0
26,"[128, 64]",tanh,0.0,0.01,0.0001,32,adam,9,57210.45290798611,60606.36868898504,77949.61024305556,48925.318580830455,61.22222222222222,27.7
25,"[128, 64]",tanh,0.0,0.01,0.0,32,adam,9,52248.414171006945,63624.064070278095,80826.39973958333,47757.449046424204,22.555555555555557,14.1
